
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 21:53:13,451] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:13,729] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,228] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,441] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:14,883] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,097] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,420] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,633] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:15,974] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,185] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,502] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 21:53:16,712] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 2300: loss 1.2353, time 41.01ms, mfu 8.45%
iter 2310: loss 1.2092, time 40.93ms, mfu 8.52%
iter 2320: loss 1.2153, time 41.07ms, mfu 8.57%
iter 2330: loss 1.2092, time 40.69ms, mfu 8.63%
iter 2340: loss 1.2264, time 41.07ms, mfu 8.68%
iter 2350: loss 1.2198, time 40.73ms, mfu 8.72%
iter 2360: loss 1.2178, time 40.66ms, mfu 8.77%
iter 2370: loss 1.2030, time 41.70ms, mfu 8.78%
iter 2380: loss 1.1936, time 42.29ms, mfu 8.79%
iter 2390: loss 1.1914, time 40.85ms, mfu 8.82%
iter 2400: loss 1.1946, time 40.90ms, mfu 8.85%
iter 2410: loss 1.1845, time 40.68ms, mfu 8.88%
iter 2420: loss 1.1861, time 40.88ms, mfu 8.90%
iter 2430: loss 1.1739, time 40.68ms, mfu 8.93%
iter 2440: loss 1.1758, time 41.01ms, mfu 8.95%
iter 2450: loss 1.1896, time 40.69ms, mfu 8.97%
iter 2460: loss 1.2002, time 41.07ms, mfu 8.98%
iter 2470: loss 1.2072, time 44.98ms, mfu 8.91%
iter 2480: loss 1.2028, time 42.31ms, mfu 8.90%
iter 2490: loss 1.1726, time 40.68ms, mfu 8.92%
step 2500: train loss 1.0871, val loss 1.4489
saving checkpoint to perp
iter 2500: loss 1.1938, time 4975.61ms, mfu 8.04%
iter 2510: loss 1.1942, time 40.82ms, mfu 8.15%
iter 2520: loss 1.1752, time 41.20ms, mfu 8.24%
iter 2530: loss 1.1744, time 41.13ms, mfu 8.32%
iter 2540: loss 1.1770, time 42.26ms, mfu 8.37%
iter 2550: loss 1.1993, time 41.26ms, mfu 8.44%
iter 2560: loss 1.1821, time 40.86ms, mfu 8.50%
iter 2570: loss 1.1935, time 42.17ms, mfu 8.54%
iter 2580: loss 1.1976, time 42.19ms, mfu 8.57%
iter 2590: loss 1.1931, time 42.42ms, mfu 8.59%
iter 2600: loss 1.1744, time 42.24ms, mfu 8.61%
iter 2610: loss 1.1690, time 42.44ms, mfu 8.63%
iter 2620: loss 1.1642, time 42.17ms, mfu 8.65%
iter 2630: loss 1.1506, time 41.97ms, mfu 8.67%
iter 2640: loss 1.1695, time 41.07ms, mfu 8.71%
iter 2650: loss 1.2013, time 42.30ms, mfu 8.72%
iter 2660: loss 1.1679, time 40.57ms, mfu 8.77%
iter 2670: loss 1.1550, time 40.61ms, mfu 8.81%
iter 2680: loss 1.1744, time 40.68ms, mfu 8.84%
iter 2690: loss 1.1773, time 40.68ms, mfu 8.88%
iter 2700: loss 1.1544, time 40.72ms, mfu 8.90%
iter 2710: loss 1.1791, time 40.68ms, mfu 8.93%
iter 2720: loss 1.1648, time 42.34ms, mfu 8.92%
iter 2730: loss 1.1927, time 40.66ms, mfu 8.94%
iter 2740: loss 1.1575, time 40.70ms, mfu 8.96%
step 2750: train loss 1.0594, val loss 1.4505
iter 2750: loss 1.1603, time 4670.64ms, mfu 8.07%
iter 2760: loss 1.1611, time 41.27ms, mfu 8.17%
iter 2770: loss 1.1507, time 42.14ms, mfu 8.24%
iter 2780: loss 1.1487, time 42.29ms, mfu 8.29%
iter 2790: loss 1.1666, time 42.49ms, mfu 8.34%
iter 2800: loss 1.1423, time 42.15ms, mfu 8.39%
iter 2810: loss 1.1688, time 42.14ms, mfu 8.44%
iter 2820: loss 1.1642, time 41.51ms, mfu 8.49%
iter 2830: loss 1.1619, time 42.23ms, mfu 8.52%
iter 2840: loss 1.1208, time 42.48ms, mfu 8.55%
iter 2850: loss 1.1622, time 41.94ms, mfu 8.58%
iter 2860: loss 1.1521, time 45.25ms, mfu 8.55%
iter 2870: loss 1.1470, time 42.06ms, mfu 8.58%
iter 2880: loss 1.1766, time 42.43ms, mfu 8.60%
iter 2890: loss 1.1473, time 40.87ms, mfu 8.65%
iter 2900: loss 1.1309, time 42.24ms, mfu 8.67%
iter 2910: loss 1.1815, time 42.48ms, mfu 8.68%
iter 2920: loss 1.1531, time 42.43ms, mfu 8.69%
iter 2930: loss 1.1302, time 42.14ms, mfu 8.70%
iter 2940: loss 1.1329, time 42.27ms, mfu 8.72%
iter 2950: loss 1.1567, time 40.92ms, mfu 8.75%
iter 2960: loss 1.1421, time 42.30ms, mfu 8.76%
iter 2970: loss 1.1277, time 40.71ms, mfu 8.80%
iter 2980: loss 1.1309, time 42.41ms, mfu 8.80%
iter 2990: loss 1.1300, time 41.29ms, mfu 8.82%
step 3000: train loss 1.0303, val loss 1.4448
saving checkpoint to perp
iter 3000: loss 1.1283, time 4948.33ms, mfu 7.95%
iter 3010: loss 1.1297, time 40.88ms, mfu 8.06%
iter 3020: loss 1.1420, time 40.90ms, mfu 8.17%
iter 3030: loss 1.1453, time 41.19ms, mfu 8.26%
iter 3040: loss 1.1721, time 41.10ms, mfu 8.34%
iter 3050: loss 1.1203, time 40.98ms, mfu 8.41%
iter 3060: loss 1.1362, time 40.89ms, mfu 8.48%
iter 3070: loss 1.1591, time 42.45ms, mfu 8.51%
iter 3080: loss 1.1484, time 41.02ms, mfu 8.57%
iter 3090: loss 1.1314, time 40.87ms, mfu 8.62%
iter 3100: loss 1.1478, time 41.37ms, mfu 8.66%
iter 3110: loss 1.1096, time 40.89ms, mfu 8.71%
iter 3120: loss 1.1495, time 41.31ms, mfu 8.74%
iter 3130: loss 1.1273, time 41.00ms, mfu 8.77%
iter 3140: loss 1.1249, time 40.78ms, mfu 8.81%
iter 3150: loss 1.1441, time 41.07ms, mfu 8.84%
iter 3160: loss 1.1644, time 40.89ms, mfu 8.86%
iter 3170: loss 1.1139, time 40.88ms, mfu 8.89%
iter 3180: loss 1.1105, time 41.11ms, mfu 8.91%
iter 3190: loss 1.1432, time 40.97ms, mfu 8.93%
iter 3200: loss 1.1135, time 41.00ms, mfu 8.94%
iter 3210: loss 1.1173, time 40.89ms, mfu 8.96%
iter 3220: loss 1.1086, time 40.85ms, mfu 8.98%
iter 3230: loss 1.1108, time 40.97ms, mfu 8.99%
iter 3240: loss 1.1059, time 40.83ms, mfu 9.00%
step 3250: train loss 1.0068, val loss 1.4568
iter 3250: loss 1.1248, time 4695.49ms, mfu 8.11%
iter 3260: loss 1.1235, time 42.41ms, mfu 8.18%
iter 3270: loss 1.1285, time 42.49ms, mfu 8.24%
iter 3280: loss 1.1009, time 41.15ms, mfu 8.32%
iter 3290: loss 1.0965, time 41.08ms, mfu 8.39%
iter 3300: loss 1.1004, time 41.24ms, mfu 8.46%
